shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product_Goodness,cavity
24,2,20.188,800.30652,0.358,28.2361,2025.53784,1643.86133,0.324,22.63475,3.07,200.0,209.8,220.0,230.0,239.8,41.7,0.668,70.0,70.0,70.0,70.0,1,P2
201,1,20.188,799.19983,0.398,28.2361,2018.15503,1649.00989,0.324,22.65514,3.036,200.10001,209.8,219.8,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,1,P1
201,2,20.188,799.19983,0.398,28.2361,2018.15503,1649.00989,0.324,22.65514,3.036,200.10001,209.8,219.8,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,1,P2
80,1,20.188,799.93762,0.358,28.2259,2033.50366,1644.7356,0.324,22.67043,3.062,200.10001,210.0,220.0,230.0,239.8,46.4,0.67,70.0,70.0,70.0,70.1,0,P1
80,2,20.188,799.93762,0.358,28.2259,2033.50366,1644.7356,0.324,22.67043,3.062,200.10001,210.0,220.0,230.0,239.8,46.4,0.67,70.0,70.0,70.0,70.1,0,P2
214,1,20.188,799.19983,0.354,28.22081,2023.01221,1650.36987,0.324,22.68062,3.046,200.0,210.10001,220.0,230.0,239.8,47.2,0.67,70.0,70.0,70.0,70.1,0,P1
214,2,20.188,799.19983,0.354,28.22081,2023.01221,1650.36987,0.324,22.68062,3.046,200.0,210.10001,220.0,230.0,239.8,47.2,0.67,70.0,70.0,70.0,70.1,0,P2
48,1,20.188,800.30652,0.42,28.20042,2005.91492,1648.32996,0.324,22.66023,3.068,200.10001,210.0,220.0,230.0,239.8,44.5,0.67,70.0,70.0,70.0,70.1,1,P1
48,2,20.188,800.30652,0.42,28.20042,2005.91492,1648.32996,0.324,22.66023,3.068,200.10001,210.0,220.0,230.0,239.8,44.5,0.67,70.0,70.0,70.0,70.1,0,P2
182,1,20.188,799.19983,0.404,28.2361,2020.19507,1650.66138,0.326,22.67043,3.05,200.10001,210.0,220.0,230.0,239.8,44.7,0.67,70.0,70.0,70.0,70.1,1,P1
182,2,20.188,799.19983,0.404,28.2361,2020.19507,1650.66138,0.326,22.67043,3.05,200.10001,210.0,220.0,230.0,239.8,44.7,0.67,70.0,70.0,70.0,70.1,1,P2
70,1,20.188,800.12207,0.356,28.21571,2025.53784,1648.52417,0.324,22.65514,3.048,199.8,209.8,219.8,230.0,239.8,45.9,0.666,70.0,70.0,70.0,70.1,1,P1
70,2,20.188,800.12207,0.356,28.21571,2025.53784,1648.52417,0.324,22.65514,3.048,199.8,209.8,219.8,230.0,239.8,45.9,0.666,70.0,70.0,70.0,70.1,0,P2
258,1,20.188,799.19983,0.354,28.22081,2011.35498,1654.93567,0.324,22.65514,3.042,199.60001,210.10001,220.10001,230.0,239.8,40.2,0.67,70.0,70.0,70.0,70.1,0,P1
238,1,20.188,799.19983,0.404,28.2259,2006.59497,1654.0614,0.326,22.68062,3.042,199.8,209.8,220.0,230.0,240.0,43.7,0.668,70.0,70.0,70.0,70.1,1,P1
238,2,20.188,799.19983,0.404,28.2259,2006.59497,1654.0614,0.326,22.68062,3.042,199.8,209.8,220.0,230.0,240.0,43.7,0.668,70.0,70.0,70.0,70.1,0,P2
262,1,20.188,799.19983,0.424,28.2259,2003.68066,1651.34131,0.324,22.66023,3.046,199.60001,209.8,220.0,230.0,239.8,41.0,0.668,70.0,70.0,70.0,70.1,1,P1
247,1,20.188,799.38428,0.404,28.24629,2006.59497,1654.25562,0.326,22.68572,3.048,199.60001,209.8,220.0,230.0,239.8,40.5,0.668,70.0,70.0,70.0,70.1,1,P1
247,2,20.188,799.38428,0.404,28.24629,2006.59497,1654.25562,0.326,22.68572,3.048,199.60001,209.8,220.0,230.0,239.8,40.5,0.668,70.0,70.0,70.0,70.1,1,P2
281,1,20.188,799.19983,1.476,28.25139,2022.91504,1662.0271,0.324,22.63984,3.046,199.8,210.0,220.0,230.0,239.8,43.5,0.664,70.0,70.0,70.0,70.1,0,P1
264,1,20.188,799.01538,0.414,28.20552,2025.34363,1645.22131,0.326,22.67043,3.032,199.60001,210.0,220.0,230.0,239.8,41.2,0.672,70.0,70.0,70.0,70.1,0,P1
150,1,20.188,799.56873,0.476,28.2259,2019.90356,1650.85559,0.324,22.66533,3.052,199.60001,209.8,220.0,230.0,239.8,42.7,0.668,70.0,70.0,70.0,70.1,1,P1
150,2,20.188,799.56873,0.476,28.2259,2019.90356,1650.85559,0.324,22.66533,3.052,199.60001,209.8,220.0,230.0,239.8,42.7,0.668,70.0,70.0,70.0,70.1,1,P2
274,1,20.188,799.01538,0.348,28.20552,1996.88062,1652.70142,0.326,22.65004,3.05,200.0,210.10001,220.10001,230.0,239.8,42.5,0.67,70.0,70.0,70.0,70.1,0,P1
89,1,20.188,799.93762,0.42,28.24119,1995.90918,1654.54712,0.326,22.67043,3.06,200.3,210.0,220.10001,230.0,239.8,43.7,0.668,70.0,70.0,70.0,70.1,1,P1
89,2,20.188,799.93762,0.42,28.24119,1995.90918,1654.54712,0.326,22.67043,3.06,200.3,210.0,220.10001,230.0,239.8,43.7,0.668,70.0,70.0,70.0,70.1,1,P2
175,1,20.188,799.38428,0.408,28.24119,2016.01782,1652.60425,0.326,22.66533,3.054,200.10001,210.0,220.10001,230.0,239.8,44.0,0.666,70.0,70.0,70.0,70.1,1,P1
175,2,20.188,799.38428,0.408,28.24119,2016.01782,1652.60425,0.326,22.66533,3.054,200.10001,210.0,220.10001,230.0,239.8,44.0,0.666,70.0,70.0,70.0,70.1,1,P2
120,1,20.19,799.38428,0.422,28.24119,2041.46948,1650.27283,0.326,22.67043,3.044,200.0,209.8,220.10001,230.0,239.8,45.9,0.67,70.0,70.0,70.0,70.1,0,P1
120,2,20.19,799.38428,0.422,28.24119,2041.46948,1650.27283,0.326,22.67043,3.044,200.0,209.8,220.10001,230.0,239.8,45.9,0.67,70.0,70.0,70.0,70.1,1,P2
161,1,20.188,799.56873,0.418,28.21571,1987.45764,1645.12415,0.324,22.66533,3.062,199.8,210.0,220.0,230.0,240.0,42.9,0.67,70.0,70.0,70.0,70.1,1,P1
161,2,20.188,799.56873,0.418,28.21571,1987.45764,1645.12415,0.324,22.66533,3.062,199.8,210.0,220.0,230.0,240.0,42.9,0.67,70.0,70.0,70.0,70.1,1,P2
155,1,20.188,799.38428,0.362,28.2259,2010.57776,1651.53564,0.326,22.66533,3.052,199.60001,209.8,219.8,230.0,239.8,42.4,0.674,70.0,70.0,70.0,70.1,1,P1
155,2,20.188,799.38428,0.362,28.2259,2010.57776,1651.53564,0.326,22.66533,3.052,199.60001,209.8,219.8,230.0,239.8,42.4,0.674,70.0,70.0,70.0,70.1,1,P2
82,1,20.188,800.12207,0.354,28.21061,2005.23486,1642.30701,0.324,22.66533,3.06,200.10001,210.0,220.0,230.0,239.8,46.4,0.666,70.0,70.0,70.0,70.1,1,P1
82,2,20.188,800.12207,0.354,28.21061,2005.23486,1642.30701,0.324,22.66533,3.06,200.10001,210.0,220.0,230.0,239.8,46.4,0.666,70.0,70.0,70.0,70.1,0,P2
128,1,20.188,799.38428,0.348,28.2259,2022.81787,1642.98706,0.324,22.66023,3.036,200.10001,209.8,220.0,230.0,239.8,46.5,0.672,70.0,70.0,70.0,70.1,1,P1
128,2,20.188,799.38428,0.348,28.2259,2022.81787,1642.98706,0.324,22.66023,3.036,200.10001,209.8,220.0,230.0,239.8,46.5,0.672,70.0,70.0,70.0,70.1,1,P2
83,1,20.188,799.93762,0.42,28.24629,2035.34937,1650.17566,0.326,22.68062,3.052,200.3,210.0,220.10001,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,0,P1
83,2,20.188,799.93762,0.42,28.24629,2035.34937,1650.17566,0.326,22.68062,3.052,200.3,210.0,220.10001,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,0,P2
138,1,20.188,799.56873,0.476,28.2259,2014.56067,1652.2157,0.324,22.67552,3.054,200.0,210.10001,220.0,230.0,240.0,47.0,0.67,70.0,70.0,70.0,70.1,1,P1
138,2,20.188,799.56873,0.476,28.2259,2014.56067,1652.2157,0.324,22.67552,3.054,200.0,210.10001,220.0,230.0,240.0,47.0,0.67,70.0,70.0,70.0,70.1,0,P2
107,1,20.188,799.56873,0.358,28.21571,2026.70361,1649.98132,0.326,22.65004,3.05,200.0,210.0,220.10001,230.0,239.8,44.5,0.67,70.0,70.0,70.0,70.1,1,P1
107,2,20.188,799.56873,0.358,28.21571,2026.70361,1649.98132,0.326,22.65004,3.05,200.0,210.0,220.10001,230.0,239.8,44.5,0.67,70.0,70.0,70.0,70.1,1,P2
152,1,20.19,799.38428,0.402,28.20042,2037.68079,1654.15857,0.326,22.66023,3.05,199.60001,209.8,219.8,230.0,239.8,42.5,0.67,70.0,70.0,70.0,70.1,1,P1
152,2,20.19,799.38428,0.402,28.20042,2037.68079,1654.15857,0.326,22.66023,3.05,199.60001,209.8,219.8,230.0,239.8,42.5,0.67,70.0,70.0,70.0,70.1,1,P2
248,1,20.188,799.19983,0.406,28.24119,2002.90344,1651.82703,0.326,22.67552,3.048,199.60001,209.8,219.8,230.0,239.8,40.2,0.668,70.0,70.0,70.0,70.1,1,P1
248,2,20.188,799.19983,0.406,28.24119,2002.90344,1651.82703,0.326,22.67552,3.048,199.60001,209.8,219.8,230.0,239.8,40.2,0.668,70.0,70.0,70.0,70.1,1,P2
226,1,20.188,799.01538,0.356,28.24629,2020.48645,1653.86707,0.326,22.67043,3.054,200.0,210.0,220.0,230.0,239.8,48.0,0.67,70.0,70.0,70.0,70.1,1,P1
226,2,20.188,799.01538,0.356,28.24629,2020.48645,1653.86707,0.326,22.67043,3.054,200.0,210.0,220.0,230.0,239.8,48.0,0.67,70.0,70.0,70.0,70.1,1,P2
143,1,20.188,799.56873,0.404,28.231,2025.63501,1650.27283,0.328,22.65004,3.052,199.8,210.10001,220.0,230.0,239.8,45.5,0.67,70.0,70.0,70.0,70.1,0,P1
143,2,20.188,799.56873,0.404,28.231,2025.63501,1650.27283,0.328,22.65004,3.052,199.8,210.10001,220.0,230.0,239.8,45.5,0.67,70.0,70.0,70.0,70.1,0,P2
39,1,20.19,800.30652,0.474,28.20042,2033.60083,1648.03845,0.328,22.64494,3.064,200.10001,209.8,220.0,230.0,239.8,43.5,0.67,70.0,70.0,70.0,70.0,0,P1
39,2,20.19,800.30652,0.474,28.20042,2033.60083,1648.03845,0.328,22.64494,3.064,200.10001,209.8,220.0,230.0,239.8,43.5,0.67,70.0,70.0,70.0,70.0,0,P2
159,1,20.188,799.56873,0.356,28.24629,2026.995,1653.08997,0.326,22.64494,3.056,199.8,210.10001,220.0,230.0,240.0,42.5,0.668,70.0,70.0,70.0,70.1,1,P1
159,2,20.188,799.56873,0.356,28.24629,2026.995,1653.08997,0.326,22.64494,3.056,199.8,210.10001,220.0,230.0,240.0,42.5,0.668,70.0,70.0,70.0,70.1,1,P2
